Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Road_surface_type,Road_surface_conditions,Weather_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Owner_of_vehicle,Service_year_of_vehicle,Fitness_of_casuality,Pedestrian_movement,Casualty_severity_label
13:10:00,Friday,18-30,Female,Above 10yr,Public (12 seats),Other,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,No distancing,Slight Injury,Governmental,Unknown,Normal,Not a Pedestrian,Slight Injury
08:10:00,Wednesday,18-30,Male,Above 10yr,Public (12 seats),Market areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the left,Slight Injury,Governmental,Unknown,Normal,Not a Pedestrian,No Casualty
08:10:00,Wednesday,18-30,Male,5-10yr,Automobile,Office areas,Asphalt roads,Wet or damp,Other,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
12:30:00,Sunday,18-30,Male,2-5yr,Automobile,Church areas,Asphalt roads,Wet or damp,Other,Daylight,Rollover,2,1,Going straight,Female,18-30,3,Changing lane to the left,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
12:30:00,Sunday,18-30,Male,Below 1yr,Automobile,Church areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Slight Injury,Governmental,Unknown,Normal,Not a Pedestrian,No Casualty
12:30:00,Sunday,18-30,Male,Below 1yr,Lorry (41-100Q),Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,No distancing,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
12:30:00,Sunday,18-30,Male,2-5yr,Public (12 seats),Residential areas,Asphalt roads,Dry,Normal,Daylight,Collision with pedestrians,1,1,Going straight,No Casualty,No Casualty,No Casualty,No distancing,Serious Injury,Owner,Above 10yr,Normal,Not a Pedestrian,No Casualty
20:01:00,Sunday,18-30,Male,Below 1yr,Lorry (11-40Q),Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,Changing lane to the left,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
20:01:00,Sunday,31-50,Male,Below 1yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,Changing lane to the right,Slight Injury,Owner,Above 10yr,Normal,Not a Pedestrian,Slight Injury
18:49:00,Thursday,31-50,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,No Casualty,No Casualty,No Casualty,Moving Backward,Slight Injury,Owner,1-2yr,No Casualty,Not a Pedestrian,No Casualty
20:41:00,Thursday,31-50,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Collision with pedestrians,2,1,Reversing,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
20:41:00,Thursday,18-30,Male,Below 1yr,Bajaj,Residential areas,Asphalt roads,Wet or damp,Normal,Daylight,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,No distancing,Slight Injury,Owner,2-5yrs,No Casualty,Not a Pedestrian,Slight Injury
20:41:00,Thursday,31-50,Male,Below 1yr,Public (12 seats),Other,Other,Wet or damp,Normal,Daylight,Collision with pedestrians,2,1,Other,Male,18-30,3,Overtaking,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
20:41:00,Thursday,31-50,Male,1-2yr,Lorry (11-40Q),Church areas,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,1,1,Going straight,No Casualty,No Casualty,No Casualty,Other,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
10:04:00,Wednesday,31-50,Male,Above 10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,1,Getting off,Male,18-30,3,Other,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
10:04:00,Wednesday,31-50,Male,Above 10yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,1,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the right,Slight Injury,Owner,Unknown,No Casualty,Not a Pedestrian,No Casualty
10:04:00,Wednesday,31-50,Male,Below 1yr,Automobile,Office areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,3,1,Going straight,Female,Over 51,2,No priority to pedestrian,Slight Injury,Owner,2-5yrs,No Casualty,Not a Pedestrian,Serious Injury
20:30:00,Wednesday,18-30,Male,2-5yr,Lorry (11-40Q),Residential areas,Asphalt roads,Wet or damp,Rain,Darkness - lights lit,Vehicle with vehicle collision,1,1,Going straight,Male,18-30,2,No priority to vehicle,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,Serious Injury
20:30:00,Wednesday,18-30,Male,2-5yr,Lorry (41-100Q),Other,Asphalt roads,Wet or damp,Normal,Daylight,Collision with roadside objects,4,6,Going straight,No Casualty,No Casualty,No Casualty,Changing lane to the left,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
20:30:00,Wednesday,18-30,Male,Above 10yr,Pick up upto 10Q,Industrial areas,Asphalt roads,Wet or damp,Normal,Daylight,Vehicle with vehicle collision,4,6,Turnover,Male,18-30,3,Changing lane to the left,Serious Injury,Owner,Above 10yr,Normal,Not a Pedestrian,Slight Injury
11:15:00,Friday,Over 51,Male,2-5yr,Lorry (11-40Q),Office areas,Asphalt roads,Wet or damp,Normal,Daylight,Vehicle with vehicle collision,4,6,Entering a junction,No Casualty,No Casualty,No Casualty,Overtaking,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
11:15:00,Friday,31-50,Male,2-5yr,Stationwagen,Recreational areas,Asphalt roads,Wet or damp,Normal,Daylight,Collision with roadside objects,4,6,Entering a junction,Male,Under 18,2,No distancing,Serious Injury,Organization,Unknown,No Casualty,Not a Pedestrian,Serious Injury
11:15:00,Friday,31-50,Male,1-2yr,Other,Residential areas,Other,Wet or damp,Normal,Daylight,Vehicle with vehicle collision,4,6,Entering a junction,Male,Under 18,3,No priority to vehicle,Serious Injury,Owner,1-2yr,Normal,Not a Pedestrian,Slight Injury
16:36:00,Thursday,31-50,Male,5-10yr,Other,Residential areas,Asphalt roads,Wet or damp,Normal,Daylight,Vehicle with vehicle collision,4,6,Entering a junction,No Casualty,No Casualty,No Casualty,Changing lane to the right,Serious Injury,Owner,Above 10yr,No Casualty,Not a Pedestrian,No Casualty
16:36:00,Thursday,18-30,Male,Below 1yr,Lorry (11-40Q),Church areas,Asphalt roads,Wet or damp,Normal,Daylight,Vehicle with vehicle collision,4,6,Other,Male,31-50,3,Changing lane to the left,Serious Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
13:28:00,Monday,31-50,Male,Below 1yr,Automobile,Residential areas,Asphalt roads,Dry,Normal,Daylight,Vehicle with vehicle collision,2,1,Entering a junction,Female,18-30,2,No distancing,Slight Injury,Owner,5-10yrs,Normal,Crossing from driver's nearside,Serious Injury
13:28:00,Monday,18-30,Male,5-10yr,Automobile,Other,Asphalt roads,Dry,Normal,Daylight,Collision with pedestrians,2,1,Turnover,No Casualty,No Casualty,No Casualty,Driving carelessly,Slight Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
19:28:00,Friday,31-50,Male,Below 1yr,Lorry (41-100Q),Other,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with pedestrians,3,5,Entering a junction,Male,18-30,3,No priority to pedestrian,Serious Injury,Owner,5-10yrs,Normal,Not a Pedestrian,Slight Injury
19:28:00,Friday,31-50,Female,1-2yr,Other,Other,Asphalt roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,3,5,Entering a junction,No Casualty,No Casualty,No Casualty,Driving carelessly,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,No Casualty
23:35:00,Friday,Under 18,Male,2-5yr,Lorry (41-100Q),Church areas,Earth roads,Dry,Normal,Darkness - lights lit,Vehicle with vehicle collision,3,5,Entering a junction,Female,18-30,3,Moving Backward,Serious Injury,Owner,Unknown,Normal,Not a Pedestrian,Slight Injury
23:35:00,Friday,Under 18,Male,1-2yr,Automobile,Other,Asphalt roads,Dry,Normal,Darkness - lights lit,Collision with roadside objects,3,5,Entering a junction,No Casualty,No Casualty,No Casualty,No distancing,Serious Injury,Governmental,Unknown,Normal,Not a Pedestrian,No Casualty
